,x,y,types
747,16051,11061,Pvalb
748,17614,11443,Pvalb
749,17642,11410,Pvalb
750,17571,11427,Pvalb
751,16916,11357,Pvalb
752,16392,11409,Pvalb
753,17851,11545,Pvalb
754,16084,11539,Pvalb
755,16942,11712,Pvalb
756,16345,11817,Pvalb
757,16394,11603,Pvalb
758,17875,11965,Pvalb
759,17946,11874,Pvalb
760,17239,11934,Pvalb
761,16117,11834,Pvalb
762,17585,12118,Pvalb
763,17020,12057,Pvalb
764,15740,11993,Pvalb
765,15793,12109,Pvalb
766,17933,12286,Pvalb
767,17301,12331,Pvalb
768,17249,12195,Pvalb
769,16644,12279,Pvalb
770,16616,12350,Pvalb
771,15464,12376,Pvalb
772,15503,12222,Pvalb
773,17746,12441,Pvalb
774,16422,12505,Pvalb
775,16282,12455,Pvalb
776,15065,12408,Pvalb
777,15156,12354,Pvalb
778,14431,12537,Pvalb
779,18532,12604,Pvalb
780,17273,12585,Pvalb
781,16124,12542,Pvalb
782,15490,12595,Pvalb
783,16903,12796,Pvalb
784,16337,12916,Pvalb
785,15733,12701,Pvalb
786,14357,12796,Pvalb
787,18520,12978,Pvalb
788,14678,12994,Pvalb
789,14822,12997,Pvalb
790,14829,13046,Pvalb
791,16376,13250,Pvalb
792,15679,13133,Pvalb
793,15736,13287,Pvalb
794,15201,13119,Pvalb
795,13315,13170,Pvalb
796,18691,13381,Pvalb
797,17270,13271,Pvalb
798,15345,13433,Pvalb
799,15370,13284,Pvalb
800,15332,13421,Pvalb
801,18242,13586,Pvalb
802,17748,13552,Pvalb
803,16345,13442,Pvalb
804,15685,13614,Pvalb
805,15215,13505,Pvalb
806,15122,13609,Pvalb
807,14546,13524,Pvalb
808,17690,13920,Pvalb
809,15686,13877,Pvalb
810,15741,13928,Pvalb
811,14403,13984,Pvalb
812,14384,13943,Pvalb
813,17397,14036,Pvalb
814,16700,14189,Pvalb
815,14052,14119,Pvalb
816,15825,14228,Pvalb
817,15199,14241,Pvalb
818,14518,14190,Pvalb
819,14425,14252,Pvalb
820,14520,14225,Pvalb
821,14745,14450,Pvalb
822,16363,14689,Pvalb
823,16466,14555,Pvalb
824,16102,15140,Pvalb
825,15642,15328,Pvalb
826,17677,10954,L2/3 IT
827,17562,10915,L2/3 IT
828,17609,11067,L2/3 IT
829,17622,11039,L2/3 IT
830,17232,11213,L2/3 IT
831,16787,11102,L2/3 IT
832,17050,11389,L2/3 IT
833,16983,11337,L2/3 IT
834,16387,11470,L2/3 IT
835,16639,11450,L2/3 IT
836,16036,11428,L2/3 IT
837,16337,11751,L2/3 IT
838,16392,11704,L2/3 IT
839,16483,11674,L2/3 IT
840,15795,11633,L2/3 IT
841,16777,11821,L2/3 IT
842,16044,11863,L2/3 IT
843,16070,11839,L2/3 IT
844,16099,11797,L2/3 IT
845,16011,11921,L2/3 IT
846,16116,11935,L2/3 IT
847,15434,11864,L2/3 IT
848,15371,11994,L2/3 IT
849,14671,11898,L2/3 IT
850,16370,11966,L2/3 IT
851,16485,12080,L2/3 IT
852,15682,12098,L2/3 IT
853,15724,12084,L2/3 IT
854,15656,12158,L2/3 IT
855,15002,12126,L2/3 IT
856,15143,12026,L2/3 IT
857,15375,12272,L2/3 IT
858,15361,12360,L2/3 IT
859,15113,12504,L2/3 IT
860,14997,12412,L2/3 IT
861,15029,12477,L2/3 IT
862,15014,12386,L2/3 IT
863,15040,12422,L2/3 IT
864,15498,12542,L2/3 IT
865,15116,12778,L2/3 IT
866,14396,12832,L2/3 IT
867,15719,13265,L2/3 IT
868,13509,13480,L2/3 IT
869,13483,13455,L2/3 IT
870,13504,13292,L2/3 IT
871,13808,13451,L2/3 IT
872,13747,13496,L2/3 IT
873,13948,13505,L2/3 IT
874,15684,14928,L2/3 IT
875,17700,10650,Astro
876,17645,10682,Astro
877,17124,10997,Astro
878,16968,11687,Astro
879,15162,11774,Astro
880,14738,11941,Astro
881,17105,12054,Astro
882,16645,12195,Astro
883,14727,12221,Astro
884,16925,12371,Astro
885,16291,12736,Astro
886,15043,12725,Astro
887,16157,13062,Astro
888,15343,13013,Astro
889,15393,12985,Astro
890,14240,12937,Astro
891,15218,13207,Astro
892,17968,13434,Astro
893,18291,13426,Astro
894,14115,13649,Astro
895,14044,13722,Astro
896,15739,13947,Astro
897,14179,14035,Astro
898,15811,14325,Astro
899,14385,14298,Astro
900,16594,11923,L5 PT
901,15084,12108,L5 PT
902,17873,12297,L5 PT
903,17897,12250,L5 PT
904,17997,12220,L5 PT
905,16710,12288,L5 PT
906,14693,12323,L5 PT
907,16678,12582,L5 PT
908,16005,12670,L5 PT
909,16351,12907,L5 PT
910,14505,12815,L5 PT
911,16471,13544,L5 PT
912,13499,13631,L5 PT
913,16791,14042,L5 PT
914,14829,14473,L5 PT
915,14725,14441,L5 PT
916,14795,14449,L5 PT
917,17220,11124,L6b
918,14399,12772,L6b
919,18383,13128,L6b
920,18619,13396,L6b
921,14698,13300,L6b
922,17635,13631,L6b
923,16332,13455,L6b
924,17871,13765,L6b
925,17654,13789,L6b
926,17648,13969,L6b
927,17045,13913,L6b
928,17254,14128,L6b
929,17397,13989,L6b
930,17290,14074,L6b
931,16927,14262,L6b
932,17022,14351,L6b
933,16667,14478,L6b
934,16377,14536,L6b
935,16283,14669,L6b
936,16144,14764,L6b
937,16170,14874,L6b
938,15780,15020,L6b
939,15716,15344,L6b
940,15767,15319,L6b
941,15816,15303,L6b
942,17869,11564,Endo
943,15117,11604,Endo
944,15716,12076,Endo
945,17734,12385,Endo
946,15803,12909,Endo
947,14557,12834,Endo
948,15149,15058,Endo
949,17751,12104,Peri
950,15792,11374,Meis2
951,16688,11817,Macrophage
952,16309,12766,Macrophage
953,13809,12738,Macrophage
954,18627,12938,Macrophage
955,13128,13246,Macrophage
956,16975,13804,Macrophage
957,15003,14627,Macrophage
958,16433,14947,Macrophage
959,17042,11096,CR
960,17270,11804,VLMC
961,17311,11790,VLMC
962,15447,12013,VLMC
963,15160,13174,VLMC
964,17986,13991,VLMC
965,15769,15479,VLMC
966,16294,11415,SMC
967,15183,11797,SMC
