,L4,Vip,Lamp5,L5 NP,Sst,L5 IT,Oligo,L6 PT,L6 IT,Sncg,Pvalb,L2/3 IT,Astro,L5 PT,L6b,Endo,Peri,Meis2,Macrophage,CR,VLMC,SMC
2882,1.2976263965847057e-05,0.31782443312235864,2.770254084246901e-05,3.3323191666045915e-06,0.4432176549076341,0.22992536745346104,1.534778857698038e-05,1.473301334575794e-05,1.0560104391568013,0.0017586711120283344,2.3924622304431764e-05,1.485264101031003e-05,7.759548682706452e-06,3.648336241515726e-06,1.0911230768184677e-05,6.667784170383273e-06,2.8546556160580216e-07,7.962541140882351e-07,6.206681365972244e-06,1.4471010588712474e-06,5.303452121396823e-05,2.0257469634743508e-05
2883,5.396686281661234e-06,0.15360915276218545,1.2501785691064755,7.30939051467594e-05,0.008696465489268251,5.5096182223490775e-05,2.441984237821354e-05,6.559776717085519e-05,0.30866031857350695,0.24969757649656849,0.07388324941544377,6.067991236313741e-06,4.646063592336769e-06,2.704276421741809,0.00010630846992587539,4.569701767577483e-07,3.3258905844657516e-08,9.369121352076348e-07,4.783464694502887e-07,5.703730887596237e-08,8.73967412745591e-07,0.0002299588356829141
2884,1.0759506806401475e-05,0.6322428734273473,0.5755735143183468,7.659498439993584e-05,8.339612499195376e-05,0.00015074339348142285,4.318345574862853e-05,7.543263733200689e-05,0.00033048974595681346,1.535923827197805e-05,0.10974112336628347,1.0299084852311013e-05,4.379822830982705e-06,1.0734620469549094e-05,1.6401197167639676,6.147780985434059e-07,4.295329138204185e-08,5.533823004499894e-06,6.101281850709114e-07,1.3357322625751067e-07,0.00011234261864259687,1.3080353644667753e-06
2885,9.0085992618949e-06,0.2584672732266307,0.12962462273864983,3.1859883813378786e-06,0.2754242247009457,1.9944132268301384e-05,1.097957858144094e-05,1.0692537870338192e-05,1.747707766878093,0.22896233015937437,0.054181094860896756,9.621448853108783e-06,3.7389918688124357e-06,3.897959134663287e-06,1.0817433654164432e-05,8.422520209865753e-07,3.782842721011814e-08,5.161338985093522e-07,8.13879957997643e-07,1.0953265650037736e-07,1.894051627648885e-06,1.8399149069869836e-06
2886,1.6075242310398252e-05,2.4839635534401605e-05,0.19726674949323272,3.5808076999099825e-06,0.5666472833247665,0.16639071491256852,1.0332270621499218e-05,1.2916854915445697e-05,0.25651645430404213,3.4941734734922347e-06,0.08656306259704707,0.5679081735498006,5.250602681639016e-06,5.0678737858467215e-06,0.0016218379938390814,2.4791155746866494e-06,6.204282682331641e-07,1.2228334014263709e-06,3.2082407315460124e-06,5.386542301089037e-07,1.8857295406848884e-06,8.243296035548298e-06
2887,8.109959444363435e-06,0.028155985121086413,4.881513998086784e-05,3.188770285600384e-06,0.00027192742143594684,6.606101073614035e-06,4.507824262200977e-06,8.269896449975e-06,1.4355996956306322e-05,4.25810395215942e-06,2.53907635016916,8.326682450182643e-06,4.28452227535514e-06,3.785021165686464e-06,3.3668433909173068e-06,1.6551840352208025e-06,5.138530395631946e-08,1.3056129406496808e-06,1.488613960147489e-06,1.8519689293228225e-07,1.4540558183895325e-06,2.413096896025646e-06
2888,1.1687553801542627e-05,0.23301323938891988,0.2151337522867856,0.3373138437075388,1.0453204526780033,1.4897733223440124e-05,7.997230390778542e-06,1.4739767516647184e-05,0.05797813581651734,8.83409352692155e-06,4.579020372413867e-05,8.028847274299533e-06,4.8420122577413904e-06,0.6730221669521806,0.00013440672858427982,8.291383574859923e-07,3.3703057913947454e-08,1.4373821051183455e-06,1.1351177953131987e-06,9.026373581910718e-08,1.3667800330685598e-06,1.3540460349348304e-06
2889,2.0628232966085625e-05,0.0021713383288937405,0.9522237000159753,4.7776132865384735e-05,0.30724528224211184,1.57672274552767e-05,1.1090693801382723e-05,1.3802917992689068e-05,0.033665295398220114,0.818196087250663,0.4908676804136754,0.00023377959940948378,1.3658004762273634e-05,0.09894035858274722,5.321892129983574e-06,1.7422138822373312e-06,6.548629514352422e-08,7.318850965276624e-07,2.4334626153119793e-06,8.121019265650009e-05,2.964462549354119e-06,7.107189973543093e-06
2890,8.562384232080333e-06,0.03245819314352155,0.42822197064976414,1.3690128351839803e-05,0.31011696873282657,4.0976482707316686e-05,8.199392740659839e-06,0.49276926347110717,0.6529117826329636,4.644084998173259e-06,4.280221301166537e-05,0.00014300406204362237,4.7983733685863506e-06,0.00014831774628679129,0.09428096484880569,2.997035427295021e-06,9.098563236165091e-08,2.511451575104573e-05,1.9215377482714735e-06,3.6008356674166464e-07,4.437611066485103e-06,1.0313408899342846e-05
2891,0.0027048502574588823,0.4466977379133978,0.01571139263937188,3.1677236407290366e-06,0.3373394261424624,1.0749350597291651e-05,0.032000124004909376,8.649531010762601e-06,2.4535989403939862e-05,1.352469795318223e-05,0.04841250442206607,1.1845975938889919,0.06151232668867207,3.226878427589619e-06,4.7610311517398696e-06,1.3014200664525355e-06,3.520940246304338e-08,3.6791149624626485e-06,7.69737902370747e-06,8.108336835288554e-07,9.206182225107717e-06,4.0734032332734316e-06
